player,hands,BB/100,SD BB/100,NonSD BB/100,VPIP%,PFR%,Limp%,Call Open%,Squeeze%,3BET%,4BET%,Fold to 3BET%,Fold to 4BET%,AF,AFq%,SawFlop,WTSD%,W$SD%,WWSF%,Flop Cbet%,Fold to Flop Cbet%,Turn Cbet%,Fold to Turn Cbet%,River Cbet%,Fold to River Cbet%,CR Flop%,CR Turn%,CR River%,Donk Flop%,Donk Turn%,Donk River%
jarell,208,-547.2,-96.3,-450.9,60.6,13.5,24.0,40.4,3.8,8.6,0.0,20.7,33.3,1.52,42.0,132,13.6,66.7,34.8,60.0,47.1,50.0,37.5,55.6,75.0,0.0,0.0,0.0,13.6,7.0,10.0
Harry,204,-60.2,237.3,-297.5,67.6,37.3,13.7,15.7,1.0,17.1,0.0,40.0,27.3,4.0,53.3,134,38.8,53.8,35.8,50.0,42.9,81.2,50.0,66.7,0.0,0.0,2.4,0.0,6.0,9.5,0.0
Isaac,172,14.2,338.5,-324.4,67.4,9.3,38.4,30.2,0.0,2.4,0.0,36.6,25.0,0.92,28.6,102,15.7,87.5,27.5,50.0,50.0,25.0,50.0,0.0,50.0,0.0,0.0,4.8,13.7,10.0,4.8
luks,164,-332.3,41.9,-374.1,52.4,26.8,15.9,13.4,4.9,20.0,75.0,43.3,0.0,0.92,33.8,86,41.9,61.1,32.6,25.0,50.0,80.0,50.0,33.3,40.0,0.0,0.0,0.0,2.3,3.0,0.0
loki,150,-34.3,187.0,-221.3,49.3,24.0,9.3,20.0,1.3,15.6,25.0,37.5,25.0,0.91,34.4,76,47.4,61.1,39.5,41.7,44.4,25.0,28.6,0.0,60.0,0.0,0.0,0.0,13.2,7.7,11.1
matt,136,-552.7,-409.3,-143.4,35.3,19.1,5.9,11.8,0.0,9.4,0.0,62.5,0.0,1.78,42.1,52,50.0,46.2,38.5,50.0,20.0,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asher,38,-981.6,-592.1,-389.5,52.6,15.8,21.1,26.3,10.5,15.4,0.0,46.2,0.0,0.71,27.8,26,30.8,50.0,15.4,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,27.3,0.0
ayyshish,26,-2134.6,-1892.3,-242.3,53.8,23.1,15.4,30.8,0.0,0.0,0.0,57.1,0.0,0.83,35.7,18,44.4,25.0,11.1,66.7,0.0,50.0,33.3,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0
